WKT,fid,unit_code,unit_name,unit_type,nps_region,scalerank,featurecla,note,name
"POLYGON ((-155.05871582 19.366943359,-155.04423014 19.32828776,-155.0394694 19.313191732,-155.06262207 19.307820638,-155.09301758 19.286214193,-155.15303548 19.269205729,-155.20296224 19.255574544,-155.2450765 19.26554362,-155.26928711 19.266194661,-155.2911377 19.259521484,-155.31445312 19.245646159,-155.34570312 19.224812826,-155.36413574 19.203572591,-155.38464355 19.200520833,-155.40014648 19.193684896,-155.403361 19.191731771,-155.40730794 19.1953125,-155.42569987 19.207560221,-155.38224284 19.357259115,-155.31945801 19.4296875,-155.41605632 19.458658854,-155.58024089 19.4296875,-155.51745605 19.342773438,-155.57539876 19.26550293,-155.65751139 19.193074544,-155.68648275 19.173746745,-155.66235352 19.072387695,-155.67195638 19.057861328,-155.74926758 19.077189128,-155.72029622 19.144775391,-155.77339681 19.168945312,-155.77819824 19.231689453,-155.79752604 19.251017253,-155.74442546 19.260660807,-155.73958333 19.32828776,-155.74442546 19.410400391,-155.63818359 19.449015299,-155.59472656 19.526245117,-155.55611165 19.502115885,-155.48364258 19.545572917,-155.43054199 19.535929362,-155.32430013 19.449015299,-155.29532878 19.453857422,-155.2808431 19.434529622,-155.23254395 19.415201823,-155.22774251 19.395874023,-155.13598633 19.381388346,-155.12150065 19.400716146,-155.05871582 19.366943359))",1,HAVO,Hawai'i Volcanoes NP,National Park,Pacific West,3,National Park Service,,Hawai'i Volcanoes
"POLYGON ((-80.627075195 28.650878906,-80.698527018 28.643188477,-80.727539062 28.706013997,-80.749267578 28.724121094,-80.752360026 28.741943359,-80.768717448 28.747151693,-80.80476888 28.79292806,-80.833740234 28.812255859,-80.843424479 28.841186523,-80.82409668 28.860514323,-80.882039388 28.95711263,-80.835693359 28.945515951,-80.743245443 28.806925456,-80.680053711 28.717041016,-80.627075195 28.650878906))",2,CANA,Canaveral NS,National Seashore,Southeast,5,National Park Service,,Canaveral NS
"POLYGON ((-118.43155924 34.133666992,-118.36393229 34.12882487,-118.41223145 34.10953776,-118.43155924 34.12882487,-118.49430339 34.119222005,-118.51363118 34.12882487,-118.49914551 34.066080729,-118.52327474 34.056437174,-118.52811686 34.032307943,-118.52897135 34.030476888,-118.54406738 34.03889974,-118.55729167 34.037882487,-118.57063802 34.041097005,-118.5826416 34.036539714,-118.59073893 34.03910319,-118.60339355 34.038818359,-118.60925293 34.035644531,-118.63696289 34.036376953,-118.66658529 34.03894043,-118.67565918 34.038126628,-118.67818197 34.033040365,-118.68013509 34.030314128,-118.69315592 34.031901042,-118.70678711 34.029418945,-118.73050944 34.032552083,-118.7483724 34.031901042,-118.75614421 34.025716146,-118.7730306 34.023763021,-118.78340658 34.021850586,-118.78792318 34.01965332,-118.78922526 34.014567057,-118.7927653 34.01155599,-118.79370117 34.007283529,-118.79663086 34.006713867,-118.80277507 34.004801432,-118.80407715 34.001057943,-118.80696615 33.999389648,-118.82983398 34.020833333,-118.85262044 34.033650716,-118.8626709 34.034423828,-118.87573242 34.037556966,-118.89420573 34.038574219,-118.90266927 34.040161133,-118.91471354 34.040649414,-118.92089844 34.044311523,-118.93001302 34.045898438,-118.93680827 34.043212891,-118.95402018 34.047851562,-118.97749837 34.059570312,-118.99735514 34.065673828,-119.00809733 34.066121419,-119.0382487 34.083658854,-119.06091309 34.085530599,-119.08695475 34.099080404,-119.08683268 34.099283854,-119.0447998 34.124023438,-119.04964193 34.143351237,-119.00134277 34.162679036,-118.9868571 34.157836914,-118.88545736 34.162679036,-118.86128743 34.124023438,-118.83235677 34.133666992,-118.82267253 34.10953776,-118.78405762 34.119222005,-118.7405599 34.119222005,-118.70678711 34.148152669,-118.74544271 34.167480469,-118.75504557 34.196451823,-118.78405762 34.206136068,-118.73091634 34.206136068,-118.68265788 34.133666992,-118.63435872 34.138509115,-118.60538737 34.152994792,-118.56193034 34.12882487,-118.51363118 34.152994792,-118.50398763 34.12882487,-118.43155924 34.133666992))",3,SAMO,Santa Monica Mountains NRA,National Recreation Area,Pacific West,8,National Park Service,,Santa Monica Mountains
"MULTIPOLYGON (((-119.02896395 33.483937814,-119.02885176 33.480570738,-119.02699881 33.475728105,-119.03145089 33.473447656,-119.03136152 33.466347522,-119.03806386 33.464794763,-119.039445 33.467772385,-119.04307693 33.471477417,-119.04405343 33.47782224,-119.0481244 33.480775291,-119.04714922 33.483994859,-119.03695513 33.483489702,-119.03058834 33.489610093,-119.03058834 33.488877671,-119.03010006 33.489121812,-119.02896395 33.483937814)),((-119.35692555 34.015679155,-119.3777229 34.010267112,-119.39006901 34.00216644,-119.41388913 34.006252346,-119.42370615 34.00475664,-119.4300018 34.008064058,-119.4391447 34.0100933,-119.44497822 34.014037408,-119.4342098 34.015562146,-119.41910678 34.014858683,-119.41134285 34.009410522,-119.39230274 34.006313841,-119.38157886 34.011217391,-119.36422205 34.017542094,-119.35692555 34.015679155)),((-120.04414876 34.037272135,-120.04231771 34.028076172,-120.04992676 34.015625,-120.04699707 34.00382487,-120.03397624 33.989583333,-120.00834147 33.979003906,-119.98038737 33.983479818,-119.97875977 33.959391276,-119.97070312 33.952921549,-119.96883138 33.941121419,-119.99963379 33.94148763,-120.01896159 33.934163411,-120.04968262 33.914794922,-120.07128906 33.911783854,-120.08064779 33.90637207,-120.10131836 33.906901042,-120.10900879 33.899739583,-120.10990397 33.893147786,-120.1241862 33.895100911,-120.13338216 33.902832031,-120.15262858 33.911702474,-120.17561849 33.922241211,-120.18448893 33.93741862,-120.18941243 33.944783529,-120.19807943 33.952107747,-120.21024577 33.97249349,-120.21936035 33.97672526,-120.22550456 33.98844401,-120.23718262 33.991699219,-120.24853516 34.001139323,-120.23657227 34.008789063,-120.21761068 34.010538737,-120.2010498 34.004679362,-120.18583171 34.008911133,-120.17097982 34.007405599,-120.15848796 34.015950521,-120.14546712 34.024495443,-120.1361084 34.024739583,-120.09667969 34.017862956,-120.07246908 34.024902344,-120.05786133 34.037801107,-120.04414876 34.037272135)),((-120.3445638 34.046508789,-120.33577474 34.048706055,-120.33032227 34.047159831,-120.31831868 34.040039063,-120.31131999 34.034464518,-120.30655924 34.026407878,-120.30830892 34.018188477,-120.32958984 34.018636068,-120.35123698 34.019042969,-120.36043294 34.014770508,-120.37381999 34.017781576,-120.38236491 34.024129232,-120.39278158 34.025960286,-120.40620931 34.03141276,-120.41520182 34.032470703,-120.42374674 34.024943034,-120.43819173 34.029541016,-120.44608561 34.030232747,-120.44921875 34.035888672,-120.43798828 34.038533529,-120.4152832 34.054484049,-120.40340169 34.051472982,-120.39404297 34.053304036,-120.38000488 34.060913086,-120.36897786 34.071289063,-120.36905924 34.076212565,-120.36222331 34.071695964,-120.3589681 34.064982096,-120.35628255 34.05851237,-120.36067708 34.053100586,-120.35603841 34.047078451,-120.3445638 34.046508789)),((-119.52941895 34.025227865,-119.54268392 34.020182292,-119.54451497 34.013631185,-119.54785156 34.00382487,-119.55952962 33.994303385,-119.58032227 33.993570964,-119.58951823 33.989013672,-119.62483724 33.987304688,-119.64546712 33.986206055,-119.65767415 33.986083984,-119.66703288 33.983072917,-119.67325846 33.978108724,-119.68212891 33.976318359,-119.68493652 33.973876953,-119.70019531 33.96875,-119.70646159 33.96866862,-119.71268717 33.961669922,-119.71952311 33.959147135,-119.74222819 33.962443034,-119.75345866 33.962320964,-119.75923665 33.957356771,-119.77205404 33.959594727,-119.7882487 33.959757487,-119.80155436 33.963216146,-119.81722005 33.959350586,-119.82519531 33.966552734,-119.84049479 33.969563802,-119.8507487 33.967366536,-119.86669922 33.978922526,-119.87410482 33.980061849,-119.88126628 33.991333008,-119.88435872 34.001831055,-119.88708496 34.008789063,-119.8770752 34.024373372,-119.87723796 34.032470703,-119.88627116 34.038085938,-119.89916992 34.049601237,-119.91357422 34.055908203,-119.91910807 34.057535807,-119.92154948 34.0546875,-119.9284668 34.055786133,-119.93302409 34.060221354,-119.92427572 34.066853841,-119.92102051 34.073445638,-119.91723633 34.078816732,-119.9046224 34.07430013,-119.88704427 34.07430013,-119.85640462 34.070556641,-119.83516439 34.063598633,-119.82438151 34.055094401,-119.80700684 34.051961263,-119.78776042 34.056193034,-119.77783203 34.055867513,-119.75927734 34.055826823,-119.75284831 34.052286784,-119.74430339 34.052164714,-119.73701986 34.046427409,-119.73213704 34.048543294,-119.71183268 34.042236328,-119.70377604 34.034545898,-119.69238281 34.028238932,-119.68534342 34.019856771,-119.67700195 34.020751953,-119.66662598 34.016764323,-119.65437826 34.019083659,-119.63317871 34.013631185,-119.61564128 34.01953125,-119.60791016 34.029459635,-119.61006673 34.039632161,-119.58862305 34.049723307,-119.57539876 34.05069987,-119.56494141 34.055338542,-119.53251139 34.041422526,-119.52148437 34.034301758,-119.52941895 34.025227865)))",4,CHIS,Channel Islands NP,National Park,Pacific West,5,National Park Service,,Channel Islands
"POLYGON ((-122.71476237 37.958170573,-122.72444661 37.934041341,-122.71875 37.911295573,-122.72774251 37.903035482,-122.73421224 37.920125326,-122.74865723 37.932617188,-122.76534017 37.93741862,-122.78023275 37.948120117,-122.79597982 37.975504557,-122.81054688 37.985188802,-122.82145182 37.997680664,-122.83939616 38.006347656,-122.8425293 38.007527669,-122.90686035 38.031860352,-122.92110189 38.034871419,-122.93269857 38.049519857,-122.93212891 38.058797201,-122.92012533 38.065307617,-122.9354248 38.070760091,-122.94156901 38.064778646,-122.94848633 38.060750326,-122.94710286 38.05476888,-122.94689941 38.045328776,-122.94250488 38.041259766,-122.93607585 38.030761719,-122.94938151 38.029459635,-122.96337891 38.025309245,-122.97908529 38.014526367,-122.98404948 38.003214518,-122.98034668 37.998046875,-122.97176107 37.99613444,-122.96248372 37.99206543,-122.97424316 37.990275065,-122.98449707 37.99210612,-122.99755859 37.993855794,-123.01782227 37.993530273,-123.02746582 37.994466146,-123.02160645 38.000488281,-123.01599121 38.000691732,-122.99072266 38.048706055,-122.94962565 38.144002279,-122.95027669 38.164510091,-122.95552572 38.176269531,-122.96492513 38.182617188,-122.96480306 38.198608398,-122.97383626 38.208048503,-122.98307292 38.220133464,-122.99324544 38.229532878,-122.9962972 38.242716471,-122.98527018 38.237792969,-122.96480306 38.217692057,-122.9255778 38.175130208,-122.90726725 38.15234375,-122.89152018 38.130818685,-122.86877441 38.110270182,-122.84338379 38.092000326,-122.83752441 38.085408529,-122.82576497 38.072224935,-122.82568359 38.072062174,-122.80651855 38.064412435,-122.78234863 38.020914714,-122.71476237 37.958170573))",5,PORE,Point Reyes NS,National Seashore,Pacific West,5,National Park Service,,Point Reyes
"POLYGON ((-123.86401367 41.150105794,-123.85921224 41.125935872,-123.91235352 41.130737305,-123.9654541 41.082478841,-124.02339681 41.150105794,-124.06685384 41.174194336,-124.06201172 41.217651367,-124.08618164 41.275634766,-124.05721029 41.280476888,-124.04272461 41.30456543,-124.08618164 41.30456543,-124.0884196 41.304443359,-124.08219401 41.341796875,-124.06778971 41.398925781,-124.06217448 41.435872396,-124.07609049 41.489990234,-124.08203125 41.521484375,-124.06835938 41.539265951,-124.0789388 41.543375651,-124.08870443 41.549153646,-124.09692383 41.556844076,-124.10310872 41.56656901,-124.10388184 41.576131185,-124.1027832 41.602620443,-124.10652669 41.608113607,-124.11499023 41.617879232,-124.12658691 41.640096029,-124.13989258 41.664306641,-124.13850911 41.67976888,-124.14579264 41.706380208,-124.15625 41.729532878,-124.13932292 41.729532878,-124.14412435 41.801961263,-124.1344401 41.821289062,-124.10546875 41.83577474,-124.08133952 41.811604818,-124.0694987 41.779134115,-124.02652995 41.766479492,-124.02823893 41.753662109,-124.09098307 41.758504232,-124.09098307 41.739217122,-124.11950684 41.744018555,-124.11466471 41.705403646,-124.09098307 41.715047201,-124.09855143 41.670491536,-124.07580566 41.569417318,-124.04675293 41.534016927,-124.05904134 41.506103516,-124.04459635 41.472330729,-124.01855469 41.444661458,-123.99442546 41.420491536,-123.99442546 41.38667806,-123.9461263 41.328735352,-123.9654541 41.28527832,-123.98958333 41.270792643,-123.97993978 41.237019857,-123.91715495 41.169392904,-123.86401367 41.150105794))",6,REDW,Redwood NP,National Park,Pacific West,3,National Park Service,,Redwood
"MULTIPOLYGON (((-124.32849121 47.568562826,-124.35770671 47.564086914,-124.37487793 47.607706706,-124.3836263 47.636027018,-124.4107666 47.688191732,-124.41585286 47.725585938,-124.41931152 47.733723958,-124.37194824 47.737589518,-124.3815918 47.694091797,-124.35742188 47.660359701,-124.34777832 47.616902669,-124.32849121 47.616902669,-124.32849121 47.568562826)),((-123.20731608 47.794637044,-123.12040202 47.794637044,-123.12040202 47.751180013,-123.1348877 47.751180013,-123.1348877 47.664265951,-123.20731608 47.606282552,-123.25561523 47.606282552,-123.27490234 47.591796875,-123.33288574 47.572509766,-123.32804362 47.548339844,-123.29423014 47.538696289,-123.31835937 47.504882812,-123.3425293 47.51936849,-123.5501709 47.51936849,-123.58878581 47.509724935,-123.61779785 47.485595703,-123.64192708 47.50008138,-123.69986979 47.495239258,-123.69986979 47.529052734,-123.74816895 47.533894857,-123.83508301 47.495239258,-123.84781901 47.502766927,-123.91666667 47.46866862,-123.92683919 47.490437826,-123.9074707 47.504882812,-123.86401367 47.51936849,-123.82055664 47.51936849,-123.82055664 47.562825521,-123.80126953 47.567708333,-123.79642741 47.611165365,-123.88818359 47.620808919,-123.91715495 47.630452474,-123.95581055 47.615966797,-124.00891113 47.620808919,-124.01375326 47.606282552,-124.06201172 47.596638997,-124.09098307 47.591796875,-124.09586589 47.567708333,-124.1537679 47.567708333,-124.21655273 47.538696289,-124.27929687 47.553181966,-124.24552409 47.562825521,-124.19238281 47.558024089,-124.1730957 47.577351888,-124.12479655 47.58215332,-124.12479655 47.596638997,-124.04272461 47.620808919,-124.01375326 47.635253906,-124.01375326 47.654622396,-123.9654541 47.669067383,-123.90266927 47.712524414,-123.89786784 47.731852214,-123.95096842 47.755981445,-123.9461263 47.809122721,-124.03304036 47.813924154,-124.03304036 47.838094076,-124.07653809 47.842895508,-124.16345215 47.842895508,-124.25036621 47.857381185,-124.25036621 47.953979492,-124.15861003 47.92980957,-123.98958333 47.94917806,-123.9461263 47.94917806,-123.92683919 47.982991536,-123.92683919 48.021565755,-124.00406901 48.065022786,-123.93164062 48.084350586,-123.81095378 48.074707031,-123.81095378 48.098836263,-123.74332682 48.098836263,-123.74332682 48.055379232,-123.68054199 48.045735677,-123.65637207 48.050537109,-123.58878581 48.040893555,-123.56465658 48.050537109,-123.52119954 48.040893555,-123.38598633 48.040893555,-123.36669922 48.016764323,-123.3425293 48.002278646,-123.25561523 47.997436523,-123.25561523 47.968465169,-123.23144531 47.968465169,-123.22664388 47.925008138,-123.16385905 47.881551107,-123.20731608 47.813924154,-123.20731608 47.794637044)),((-124.40433757 47.757039388,-124.44962565 47.75402832,-124.45589193 47.76180013,-124.4765625 47.778238932,-124.48347982 47.812947591,-124.54162598 47.834309896,-124.55627441 47.853678385,-124.56799316 47.869710286,-124.59313965 47.876220703,-124.60949707 47.87483724,-124.6381429 47.907877604,-124.65616862 47.954020182,-124.67199707 47.990722656,-124.68322754 48.027832031,-124.69384766 48.074544271,-124.68945312 48.100179036,-124.72298177 48.150105794,-124.73461914 48.170410156,-124.71923828 48.176310221,-124.70007324 48.191853841,-124.68945312 48.213460286,-124.68977865 48.21891276,-124.69494629 48.225585938,-124.700236 48.235758464,-124.66227214 48.239013672,-124.66711426 48.156901042,-124.59012858 48.115437826,-124.59012858 48.086425781,-124.61425781 48.086425781,-124.61425781 48.033325195,-124.65771484 48.057454427,-124.6509196 47.994710286,-124.61710612 47.922241211,-124.58528646 47.917439779,-124.58528646 47.888468424,-124.53751628 47.887044271,-124.49405924 47.84358724,-124.46561686 47.838745117,-124.42134603 47.76949056,-124.40433757 47.757039388)))",7,OLYM,Olympic NP,National Park,Pacific West,3,National Park Service,,Olympic
"MULTIPOLYGON (((-115.70320638 35.480957031,-115.71284993 35.548543294,-115.61629232 35.587158203,-115.51969401 35.592000326,-115.51969401 35.524414062,-115.57767741 35.51957194,-115.57283529 35.505086263,-115.62593587 35.495442708,-115.69356283 35.471313477,-115.70320638 35.480957031)),((-115.2734375 35.466430664,-115.23901367 35.473347982,-115.19376628 35.437825521,-115.14453125 35.400024414,-115.10925293 35.372924805,-115.11893717 35.307128906,-115.14306641 35.302246094,-115.14306641 35.258789062,-115.16239421 35.258789062,-115.16239421 35.215332031,-115.10925293 35.215332031,-115.08992513 35.244344076,-115.05135091 35.249145508,-115.0464681 35.307128906,-115.02351888 35.307128906,-115 35.2890625,-114.94986979 35.250569661,-114.9547526 35.051147461,-114.97888184 35.041503906,-114.98368327 34.920776367,-115.07543945 34.915974935,-115.11893717 34.862874349,-115.19616699 34.809733073,-115.31689453 34.800048828,-115.37003581 34.804890951,-115.41349284 34.795247396,-115.46142578 34.774495443,-115.55834961 34.732462565,-115.74182129 34.717976888,-115.74666341 34.74214681,-115.78047689 34.790405273,-115.8577474 34.82421875,-115.87223307 34.915974935,-115.8577474 34.935302734,-115.8577474 34.978719076,-115.93737793 35.013264974,-116.00260417 35.041503906,-116.08052572 35.043782552,-116.16678874 35.046346029,-116.12333171 35.099446615,-116.14265951 35.123616536,-116.11848958 35.128417969,-116.12333171 35.162231445,-116.14746094 35.157430013,-116.15230306 35.191202799,-116.12333171 35.200887044,-116.08951823 35.25398763,-116.00252279 35.308105469,-115.91084798 35.365071615,-115.79012044 35.403686523,-115.65730794 35.44905599,-115.59216309 35.471313477,-115.55834961 35.466430664,-115.55834961 35.422973633,-115.50520833 35.422973633,-115.50520833 35.403686523,-115.44726562 35.403686523,-115.45694987 35.451985677,-115.44726562 35.471313477,-115.37967936 35.456787109,-115.3120931 35.456787109,-115.2734375 35.466430664)))",8,MOJA,Mojave N PRES,National Preserve,Pacific West,4,National Park Service,,Mojave N PRES
"POLYGON ((-115.5004069 33.723225911,-115.51969401 33.713541667,-115.61629232 33.708740234,-115.65974935 33.713541667,-115.69356283 33.694254557,-115.72253418 33.670084635,-115.74666341 33.67972819,-115.80944824 33.674926758,-115.88671875 33.689412435,-115.97847493 33.684611003,-116.0074056 33.703898112,-116.065389 33.771525065,-116.14746094 33.834309896,-116.25854492 33.892252604,-116.2730306 33.892252604,-116.39013672 33.944661458,-116.45654297 33.974324544,-116.45654297 34.075764974,-116.39339193 34.075764974,-116.26818848 34.075764974,-116.26818848 34.119222005,-116.1693929 34.119222005,-116.05574544 34.119222005,-116.03641764 34.104695638,-116.03641764 34.080566406,-116.00260417 34.075764974,-116.00260417 34.017781576,-115.93981934 34.017781576,-115.91084798 33.974324544,-115.70320638 33.974324544,-115.66459147 34.012980143,-115.63077799 34.012980143,-115.63077799 34.070922852,-115.65010579 34.099894206,-115.58732096 34.090209961,-115.55354818 34.070922852,-115.52453613 34.114379883,-115.4810791 34.10953776,-115.37630208 34.0859375,-115.28792318 34.066080729,-115.26863607 34.017781576,-115.2734375 33.979166667,-115.29756673 33.954996745,-115.29756673 33.882568359,-115.26379395 33.868082682,-115.26379395 33.834309896,-115.2927653 33.800455729,-115.32657878 33.814982096,-115.36515299 33.853597005,-115.35070801 33.86328125,-115.38932292 33.916381836,-115.42313639 33.901896159,-115.61629232 33.901896159,-115.63077799 33.892252604,-115.61629232 33.853597005,-115.59700521 33.84391276,-115.51489258 33.84391276,-115.47623698 33.829467773,-115.45694987 33.786010742,-115.5004069 33.723225911))",9,JOTR,Joshua Tree NP,National Park,Pacific West,3,National Park Service,,Joshua Tree
"MULTIPOLYGON (((-102.82454427 43.482421875,-102.86315918 43.482421875,-102.89697266 43.516235352,-102.88248698 43.530721029,-102.8873291 43.651448568,-102.79557292 43.651448568,-102.79557292 43.685221354,-102.60725911 43.685221354,-102.60725911 43.733561198,-102.55895996 43.733561198,-102.5107015 43.748006185,-102.48653158 43.786661784,-102.41890462 43.791463216,-102.41890462 43.834920247,-102.44787598 43.834920247,-102.43823242 43.917032878,-102.33683268 43.92183431,-102.27888997 43.907389323,-102.25960286 43.888020833,-102.19677734 43.878377279,-102.19677734 43.863932292,-102.15812174 43.859090169,-102.15812174 43.82047526,-102.12919108 43.805948893,-101.98913574 43.801106771,-101.96984863 43.786661784,-101.89257812 43.791463216,-101.88777669 43.748006185,-101.92154948 43.733561198,-101.99881999 43.743204753,-102.01814779 43.762491862,-102.13883464 43.762491862,-102.13883464 43.777018229,-102.19677734 43.82047526,-102.29817708 43.82047526,-102.29817708 43.777018229,-102.33683268 43.777018229,-102.33683268 43.762491862,-102.37544759 43.762491862,-102.37544759 43.748006185,-102.42374674 43.748006185,-102.42374674 43.772135417,-102.45756022 43.772135417,-102.45756022 43.748006185,-102.52514648 43.733561198,-102.53479004 43.670735677,-102.56380208 43.651448568,-102.64107259 43.641764323,-102.63138835 43.607991536,-102.59761556 43.593465169,-102.59761556 43.550008138,-102.54447428 43.550008138,-102.53479004 43.521036784,-102.47688802 43.525919596,-102.47688802 43.511393229,-102.59761556 43.506551107,-102.63623047 43.511393229,-102.63623047 43.540364583,-102.68933105 43.540364583,-102.6796875 43.559651693,-102.70381673 43.559651693,-102.72798665 43.535563151,-102.80525716 43.540364583,-102.79557292 43.511393229,-102.82454427 43.482421875)),((-102.39477539 43.482421875,-102.44787598 43.496907552,-102.44787598 43.525919596,-102.36580404 43.535563151,-102.36580404 43.564493815,-102.27888997 43.579020182,-102.27888997 43.525919596,-102.28853353 43.482421875,-102.30786133 43.477579753,-102.37544759 43.477579753,-102.39477539 43.482421875)))",10,BADL,Badlands NP,National Park,Midwest,3,National Park Service,,Badlands
