scientific_name,geometry
Pinus longaeva D.K.Bailey,"c(-118.178718, 37.385823)"
Pinus longaeva D.K.Bailey,"c(-112.832031, 37.63243)"
Pinus longaeva D.K.Bailey,"c(-112.179138, 37.620422)"
Pinus longaeva D.K.Bailey,"c(-112.844807, 37.609843)"
Pinus longaeva D.K.Bailey,"c(-112.886078, 37.682938)"
Pinus longaeva D.K.Bailey,"c(-112.885933, 37.682597)"
Pinus longaeva D.K.Bailey,"c(-112.883645, 37.680395)"
Pinus longaeva D.K.Bailey,"c(-112.885375, 37.681972)"
Pinus longaeva D.K.Bailey,"c(-112.882958, 37.679255)"
Pinus longaeva D.K.Bailey,"c(-112.885453, 37.682067)"
Pinus longaeva D.K.Bailey,"c(-112.844688, 37.610233)"
Pinus longaeva D.K.Bailey,"c(-114.304901, 38.995331)"
Pinus longaeva D.K.Bailey,"c(-118.180078, 37.389288)"
Pinus longaeva D.K.Bailey,"c(-112.83197, 37.632708)"
Pinus longaeva D.K.Bailey,"c(-112.235533, 37.470379)"
Pinus longaeva D.K.Bailey,"c(-110.924318, 39.779526)"
Pinus longaeva D.K.Bailey,"c(-118.198333, 37.527364)"
Pinus longaeva D.K.Bailey,"c(-118.171297, 37.385046)"
Pinus longaeva D.K.Bailey,"c(-112.240242, 37.474563)"
Pinus longaeva D.K.Bailey,"c(-112.240203, 37.474512)"
Pinus longaeva D.K.Bailey,"c(-114.257805, 38.929942)"
Pinus longaeva D.K.Bailey,"c(-114.258286, 38.930086)"
Pinus longaeva D.K.Bailey,"c(-115.41213, 38.920097)"
Pinus longaeva D.K.Bailey,"c(-115.541108, 40.21492)"
Pinus longaeva D.K.Bailey,"c(-115.541205, 40.214808)"
Pinus longaeva D.K.Bailey,"c(-115.540808, 40.209642)"
Pinus longaeva D.K.Bailey,"c(-115.539437, 40.208737)"
Pinus longaeva D.K.Bailey,"c(-115.555108, 40.176628)"
Pinus longaeva D.K.Bailey,"c(-115.554145, 40.17457)"
Pinus longaeva D.K.Bailey,"c(-118.161268, 37.506826)"
Pinus longaeva D.K.Bailey,"c(-115.546975, 40.248378)"
Pinus longaeva D.K.Bailey,"c(-115.546578, 40.248783)"
Pinus longaeva D.K.Bailey,"c(-114.287561, 38.941881)"
Pinus longaeva D.K.Bailey,"c(-115.412131, 38.920136)"
Pinus longaeva D.K.Bailey,"c(-118.197937, 37.527847)"
Pinus longaeva D.K.Bailey,"c(-114.237453, 39.017405)"
Pinus longaeva D.K.Bailey,"c(-118.161125, 37.506786)"
Pinus longaeva D.K.Bailey,"c(-114.099792, 39.221263)"
Pinus longaeva D.K.Bailey,"c(-114.304864, 39.000744)"
Pinus longaeva D.K.Bailey,"c(-112.746483, 37.495911)"
Pinus longaeva D.K.Bailey,"c(-114.179461, 38.824016)"
Pinus longaeva D.K.Bailey,"c(-115.632901, 36.338779)"
Pinus longaeva D.K.Bailey,"c(-118.199255, 37.528317)"
Pinus longaeva D.K.Bailey,"c(-118.199269, 37.528315)"
Pinus longaeva D.K.Bailey,"c(-114.189125, 38.826096)"
Pinus longaeva D.K.Bailey,"c(-118.178711, 37.386653)"
Pinus longaeva D.K.Bailey,"c(-118.180017, 37.386995)"
Pinus longaeva D.K.Bailey,"c(-118.172941, 37.379911)"
Pinus longaeva D.K.Bailey,"c(-115.633291, 36.294226)"
